Time	Dev1/ai0	Dev1/ai1	
4.345060e+001	1.771305	1.950355	
4.355060e+001	1.770976	1.951342	
4.365060e+001	1.771141	1.952494	
4.375060e+001	1.771634	1.951671	
4.385060e+001	1.771634	1.951836	
4.395060e+001	1.771305	1.952329	
4.405060e+001	1.771963	1.952165	
4.415060e+001	1.771799	1.952000	
4.425060e+001	1.771799	1.952165	
4.435060e+001	1.771634	1.952165	
4.445060e+001	1.770976	1.952659	
4.455060e+001	1.772128	1.952329	
4.465060e+001	1.770482	1.953975	
4.475060e+001	1.770318	1.953810	
4.485060e+001	1.770482	1.952988	
4.495060e+001	1.770647	1.953152	
4.505060e+001	1.770976	1.953646	
4.515060e+001	1.771963	1.954633	
4.525060e+001	1.771470	1.955127	
4.535060e+001	1.771305	1.954962	
4.545060e+001	1.771305	1.954633	
4.555060e+001	1.770976	1.954304	
4.565060e+001	1.770318	1.953646	
4.575060e+001	1.770318	1.953975	
4.585060e+001	1.769824	1.952823	
4.595060e+001	1.769659	1.952494	
4.605060e+001	1.769330	1.952329	
4.615060e+001	1.769330	1.952494	
4.625060e+001	1.768837	1.952494	
4.635060e+001	1.769001	1.952988	
4.645060e+001	1.769166	1.952988	
4.655060e+001	1.770153	1.952494	
4.665060e+001	1.770318	1.953317	
4.675060e+001	1.770647	1.953975	
4.685060e+001	1.772293	1.953152	
4.695060e+001	1.771470	1.953317	
4.705060e+001	1.771470	1.952823	
4.715060e+001	1.770976	1.952494	
4.725060e+001	1.770647	1.952329	
4.735060e+001	1.770318	1.951671	
4.745060e+001	1.770976	1.951177	
4.755060e+001	1.770318	1.951013	
4.765060e+001	1.770318	1.951177	
4.775060e+001	1.770647	1.951671	
4.785060e+001	1.770976	1.950519	
4.795060e+001	1.771305	1.950519	
4.805060e+001	1.772128	1.949696	
4.815060e+001	1.771799	1.950519	
4.825060e+001	1.772293	1.951013	
4.835060e+001	1.772128	1.950684	
4.845060e+001	1.771470	1.950355	
4.855060e+001	1.771141	1.950190	
4.865060e+001	1.770811	1.949696	
4.875060e+001	1.770811	1.948544	
4.885060e+001	1.770482	1.948544	
4.895060e+001	1.770647	1.948709	
4.905060e+001	1.770811	1.947721	
4.915060e+001	1.772293	1.947721	
4.925060e+001	1.771470	1.947392	
4.935060e+001	1.771963	1.947886	
4.945060e+001	1.772128	1.948215	
4.955060e+001	1.771799	1.948380	
4.965060e+001	1.771305	1.948215	
4.975060e+001	1.771963	1.947886	
4.985060e+001	1.771305	1.948215	
4.995060e+001	1.771305	1.948873	
5.005060e+001	1.771141	1.950025	
5.015060e+001	1.771305	1.949696	
5.025060e+001	1.771634	1.950025	
5.035060e+001	1.772457	1.950684	
5.045060e+001	1.772951	1.950684	
5.055060e+001	1.773609	1.950684	
5.065060e+001	1.773609	1.951177	
5.075060e+001	1.773609	1.951342	
5.085060e+001	1.775255	1.952165	
5.095060e+001	1.773609	1.952659	
5.105060e+001	1.774432	1.952329	
5.115060e+001	1.773938	1.952329	
5.125060e+001	1.773938	1.953646	
5.135060e+001	1.773938	1.952988	
5.145060e+001	1.775419	1.953481	
5.155060e+001	1.775090	1.954304	
5.165060e+001	1.776078	1.954798	
5.175060e+001	1.776571	1.954962	
5.185060e+001	1.776900	1.954798	
5.195060e+001	1.776736	1.955292	
5.205060e+001	1.777394	1.955621	
5.215060e+001	1.776407	1.955621	
5.225060e+001	1.777065	1.955292	
5.235060e+001	1.777230	1.953481	
5.245060e+001	1.776242	1.956279	
5.255060e+001	1.777559	1.955621	
5.265060e+001	1.776571	1.955785	
5.275060e+001	1.777065	1.955292	
5.285060e+001	1.777559	1.955456	
5.295060e+001	1.777723	1.955292	
