Time	Dev1/ai0	Dev1/ai1	
3.709950e+001	1.771305	1.947721	
3.719950e+001	1.770976	1.947721	
3.729950e+001	1.772786	1.948215	
3.739950e+001	1.771799	1.948051	
3.749950e+001	1.772293	1.947721	
3.759950e+001	1.772457	1.947721	
3.769950e+001	1.772457	1.947063	
3.779950e+001	1.772128	1.947886	
3.789950e+001	1.772786	1.947721	
3.799950e+001	1.771963	1.948215	
3.809950e+001	1.771799	1.948380	
3.819950e+001	1.771634	1.949532	
3.829950e+001	1.771470	1.950025	
3.839950e+001	1.770976	1.950684	
3.849950e+001	1.771634	1.951342	
3.859950e+001	1.770811	1.952000	
3.869950e+001	1.772293	1.952165	
3.879950e+001	1.772622	1.953317	
3.889950e+001	1.772951	1.952988	
3.899950e+001	1.772951	1.953481	
3.909950e+001	1.773445	1.954304	
3.919950e+001	1.773445	1.954633	
3.929950e+001	1.773609	1.954798	
3.939950e+001	1.773445	1.954633	
3.949950e+001	1.773115	1.954304	
3.959950e+001	1.774267	1.953975	
3.969950e+001	1.772951	1.954633	
3.979950e+001	1.773280	1.954962	
3.989950e+001	1.773609	1.954469	
3.999950e+001	1.774103	1.954140	
4.009950e+001	1.774267	1.953810	
4.019950e+001	1.775255	1.953646	
4.029950e+001	1.774761	1.954304	
4.039950e+001	1.774596	1.954469	
4.049950e+001	1.774432	1.955127	
4.059950e+001	1.773445	1.954962	
4.069950e+001	1.770811	1.956114	
4.079950e+001	1.774596	1.956114	
4.089950e+001	1.775090	1.956279	
4.099950e+001	1.775584	1.956114	
4.109950e+001	1.776571	1.956114	
4.119950e+001	1.777065	1.955950	
4.129950e+001	1.778875	1.955621	
4.139950e+001	1.777888	1.955785	
4.149950e+001	1.777888	1.955292	
4.159950e+001	1.778217	1.954140	
4.169950e+001	1.777559	1.954469	
4.179950e+001	1.776900	1.953481	
4.189950e+001	1.777230	1.952000	
4.199950e+001	1.777394	1.952494	
4.209950e+001	1.777888	1.952165	
4.219950e+001	1.778052	1.951836	
4.229950e+001	1.777888	1.951013	
4.239950e+001	1.778052	1.951013	
4.249950e+001	1.779040	1.951342	
4.259950e+001	1.777888	1.951671	
4.269950e+001	1.777559	1.951836	
4.279950e+001	1.777065	1.952165	
4.289950e+001	1.776407	1.951836	
4.299950e+001	1.777559	1.952494	
4.309950e+001	1.777065	1.952988	
4.319950e+001	1.777230	1.953481	
4.329950e+001	1.777230	1.953975	
4.339950e+001	1.776900	1.954469	
4.349950e+001	1.777230	1.954798	
4.359950e+001	1.776736	1.955292	
4.369950e+001	1.775913	1.955292	
4.379950e+001	1.775584	1.954469	
4.389950e+001	1.775419	1.954798	
4.399950e+001	1.774926	1.955127	
4.409950e+001	1.776242	1.954962	
4.419950e+001	1.775584	1.954798	
4.429950e+001	1.775913	1.954469	
4.439950e+001	1.776078	1.954304	
4.449950e+001	1.776736	1.954140	
4.459950e+001	1.775584	1.953975	
4.469950e+001	1.775913	1.954140	
4.479950e+001	1.774926	1.952988	
4.489950e+001	1.774761	1.953481	
4.499950e+001	1.774267	1.953317	
4.509950e+001	1.774267	1.953152	
4.519950e+001	1.773774	1.953317	
4.529950e+001	1.774761	1.953152	
4.539950e+001	1.775090	1.952494	
4.549950e+001	1.775748	1.952659	
4.559950e+001	1.775748	1.951177	
4.569950e+001	1.775913	1.952329	
4.579950e+001	1.776900	1.951836	
4.589950e+001	1.775584	1.952165	
4.599950e+001	1.775584	1.952494	
4.609950e+001	1.775584	1.953317	
4.619950e+001	1.775584	1.953646	
4.629950e+001	1.776078	1.953646	
4.639950e+001	1.777888	1.953646	
4.649950e+001	1.777723	1.953481	
4.659950e+001	1.778875	1.953646	
4.669950e+001	1.779369	1.954304	
4.679950e+001	1.779863	1.953810	
4.689950e+001	1.779369	1.953975	
4.699950e+001	1.780192	1.953975	
4.709950e+001	1.780192	1.953975	
4.719950e+001	1.780356	1.953810	
4.729950e+001	1.780356	1.953481	
4.739950e+001	1.780192	1.953317	
4.749950e+001	1.782167	1.952329	
4.759950e+001	1.781673	1.952988	
4.769950e+001	1.781837	1.952988	
4.779950e+001	1.782660	1.953152	
4.789950e+001	1.782825	1.953646	
4.799950e+001	1.782496	1.954140	
4.809950e+001	1.782989	1.954469	
4.819950e+001	1.782167	1.954304	
4.829950e+001	1.782496	1.953975	
4.839950e+001	1.782331	1.953646	
4.849950e+001	1.782989	1.953646	
4.859950e+001	1.783812	1.953810	
4.869950e+001	1.782660	1.954140	
4.879950e+001	1.782331	1.954140	
4.889950e+001	1.782002	1.955127	
4.899950e+001	1.781344	1.954962	
4.909950e+001	1.780521	1.954633	
4.919950e+001	1.780850	1.953975	
4.929950e+001	1.780356	1.954140	
4.939950e+001	1.781344	1.953481	
4.949950e+001	1.781179	1.952988	
4.959950e+001	1.780850	1.953317	
4.969950e+001	1.780850	1.953481	
4.979950e+001	1.780356	1.953481	
4.989950e+001	1.779863	1.953975	
4.999950e+001	1.779369	1.954633	
5.009950e+001	1.778875	1.954962	
5.019950e+001	1.778052	1.955127	
5.029950e+001	1.778217	1.954633	
5.039950e+001	1.777723	1.954304	
5.049950e+001	1.777723	1.954304	
5.059950e+001	1.778382	1.954140	
5.069950e+001	1.778217	1.953810	
5.079950e+001	1.777723	1.953481	
5.089950e+001	1.778217	1.952823	
5.099950e+001	1.777065	1.953317	
5.109950e+001	1.776900	1.952823	
5.119950e+001	1.776242	1.952659	
5.129950e+001	1.775913	1.951671	
5.139950e+001	1.771963	1.951342	
5.149950e+001	1.776242	1.951507	
5.159950e+001	1.776736	1.950355	
5.169950e+001	1.777230	1.950684	
5.179950e+001	1.777559	1.951177	
5.189950e+001	1.777888	1.951013	
5.199950e+001	1.778875	1.951013	
5.209950e+001	1.777394	1.951177	
5.219950e+001	1.777559	1.950848	
5.229950e+001	1.776407	1.951013	
5.239950e+001	1.776078	1.950519	
5.249950e+001	1.775419	1.950355	
5.259950e+001	1.775584	1.948709	
5.269950e+001	1.775419	1.949038	
5.279950e+001	1.775419	1.948709	
5.289950e+001	1.775584	1.948709	
5.299950e+001	1.775584	1.948380	
5.309950e+001	1.775419	1.948051	
5.319950e+001	1.775748	1.948873	
5.329950e+001	1.774432	1.948873	
5.339950e+001	1.775748	1.948873	
5.349950e+001	1.774926	1.950190	
5.359950e+001	1.774596	1.950190	
5.369950e+001	1.775255	1.950190	
5.379950e+001	1.774267	1.950848	
5.389950e+001	1.774432	1.950025	
5.399950e+001	1.774596	1.950190	
5.409950e+001	1.775255	1.950025	
5.419950e+001	1.775255	1.949532	
5.429950e+001	1.776571	1.949367	
5.439950e+001	1.776078	1.948380	
5.449950e+001	1.776407	1.951342	
5.459950e+001	1.776571	1.950848	
5.469950e+001	1.776407	1.951671	
5.479950e+001	1.776242	1.952000	
5.489950e+001	1.776571	1.951013	
5.499950e+001	1.775748	1.951671	
5.509950e+001	1.775748	1.951342	
5.519950e+001	1.775748	1.950848	
5.529950e+001	1.776078	1.951342	
5.539950e+001	1.776736	1.951013	
5.549950e+001	1.777065	1.951836	
5.559950e+001	1.777230	1.950848	
5.569950e+001	1.777888	1.950684	
5.579950e+001	1.777723	1.950355	
5.589950e+001	1.777723	1.951013	
5.599950e+001	1.778711	1.950684	
5.609950e+001	1.777559	1.950684	
5.619950e+001	1.777394	1.950355	
5.629950e+001	1.778052	1.950190	
5.639950e+001	1.777559	1.949532	
5.649950e+001	1.777559	1.950025	
5.659950e+001	1.777888	1.949038	
5.669950e+001	1.777394	1.949367	
5.679950e+001	1.777065	1.949038	
5.689950e+001	1.776900	1.949203	
5.699950e+001	1.776407	1.948380	
5.709950e+001	1.776736	1.948215	
5.719950e+001	1.775255	1.948544	
5.729950e+001	1.775913	1.948380	
5.739950e+001	1.775748	1.948873	
5.749950e+001	1.775913	1.949532	
5.759950e+001	1.775748	1.949203	
5.769950e+001	1.776900	1.949532	
5.779950e+001	1.776078	1.948873	
5.789950e+001	1.776078	1.948544	
5.799950e+001	1.775748	1.948051	
5.809950e+001	1.775255	1.947557	
5.819950e+001	1.774926	1.947557	
5.829950e+001	1.775090	1.946899	
5.839950e+001	1.775090	1.946899	
5.849950e+001	1.775584	1.947557	
5.859950e+001	1.776242	1.948051	
5.869950e+001	1.776078	1.948380	
5.879950e+001	1.777230	1.948873	
5.889950e+001	1.776078	1.949367	
5.899950e+001	1.775584	1.949203	
5.909950e+001	1.775584	1.948873	
5.919950e+001	1.775419	1.948380	
5.929950e+001	1.774926	1.947557	
5.939950e+001	1.775913	1.947557	
5.949950e+001	1.775913	1.948051	
5.959950e+001	1.776736	1.947886	
5.969950e+001	1.777230	1.947886	
5.979950e+001	1.777723	1.948544	
5.989950e+001	1.777559	1.948544	
5.999950e+001	1.778382	1.948709	
6.009950e+001	1.778217	1.949038	
6.019950e+001	1.778217	1.949367	
6.029950e+001	1.777888	1.949696	
6.039950e+001	1.777230	1.950025	
6.049950e+001	1.777888	1.949861	
6.059950e+001	1.777230	1.949532	
6.069950e+001	1.777888	1.949203	
6.079950e+001	1.778217	1.948544	
6.089950e+001	1.778546	1.948709	
6.099950e+001	1.778217	1.949367	
6.109950e+001	1.778875	1.948544	
6.119950e+001	1.778217	1.949038	
6.129950e+001	1.776571	1.949696	
6.139950e+001	1.777559	1.949696	
6.149950e+001	1.776900	1.949861	
6.159950e+001	1.778052	1.949696	
6.169950e+001	1.777394	1.949696	
6.179950e+001	1.777888	1.949367	
6.189950e+001	1.778217	1.949038	
6.199950e+001	1.778382	1.948873	
6.209950e+001	1.777888	1.949038	
6.219950e+001	1.778711	1.949861	
6.229950e+001	1.777230	1.950355	
6.239950e+001	1.777065	1.947886	
6.249950e+001	1.776900	1.950848	
6.259950e+001	1.776736	1.950684	
6.269950e+001	1.777065	1.951836	
6.279950e+001	1.778217	1.952165	
6.289950e+001	1.778382	1.952494	
6.299950e+001	1.778711	1.952988	
6.309950e+001	1.778875	1.952823	
6.319950e+001	1.778546	1.952494	
