Time	Dev1/ai0	Dev1/ai1	
2.924830e+001	0.972824	0.973153	
2.934830e+001	0.973153	0.972988	
2.944830e+001	0.972988	0.972824	
2.954830e+001	0.972988	0.973153	
2.964830e+001	0.972988	0.972824	
2.974830e+001	0.973153	0.972824	
2.984830e+001	0.972824	0.972988	
2.994830e+001	0.972988	0.973153	
3.004830e+001	0.972988	0.973153	
3.014830e+001	0.972988	0.972659	
3.024830e+001	0.973153	0.972824	
3.034830e+001	0.972988	0.973153	
3.044830e+001	0.972988	0.972988	
3.054830e+001	0.972824	0.972824	
3.064830e+001	0.972988	0.973153	
3.074830e+001	0.973153	0.973153	
3.084830e+001	0.972988	0.972824	
3.094830e+001	0.973317	0.972988	
3.104830e+001	0.972988	0.973153	
3.114830e+001	0.972988	0.972988	
3.124830e+001	0.973153	0.973153	
3.134830e+001	0.972988	0.973317	
3.144830e+001	0.972824	0.972824	
3.154830e+001	0.973153	0.972988	
3.164830e+001	0.972988	0.972988	
3.174830e+001	0.972988	0.972988	
3.184830e+001	0.972988	0.972988	
3.194830e+001	0.972824	0.972824	
3.204830e+001	0.972988	0.972824	
3.214830e+001	0.972824	0.972988	
3.224830e+001	0.972824	0.972988	
3.234830e+001	0.972824	0.972824	
3.244830e+001	0.973153	0.972824	
3.254830e+001	0.972988	0.973153	
3.264830e+001	0.972988	0.972988	
3.274830e+001	0.972988	0.972824	
3.284830e+001	0.972988	0.972824	
3.294830e+001	0.972824	0.972659	
3.304830e+001	0.973153	0.972988	
3.314830e+001	0.972988	0.972824	
3.324830e+001	0.973153	0.973153	
3.334830e+001	0.972988	0.972988	
3.344830e+001	0.972988	0.972824	
3.354830e+001	0.972824	0.973153	
3.364830e+001	0.972988	0.972988	
3.374830e+001	0.972824	0.973153	
3.384830e+001	0.973153	0.973153	
3.394830e+001	0.972824	0.972824	
3.404830e+001	0.972824	0.972824	
3.414830e+001	0.972824	0.972824	
3.424830e+001	0.972824	0.972824	
3.434830e+001	0.972824	0.972988	
3.444830e+001	0.973153	0.972988	
3.454830e+001	0.973153	0.972988	
3.464830e+001	0.972988	0.972824	
3.474830e+001	0.972988	0.972988	
3.484830e+001	0.972659	0.972988	
3.494830e+001	0.972824	0.972824	
3.504830e+001	0.972824	0.972988	
3.514830e+001	0.972824	0.972824	
3.524830e+001	0.972988	0.972988	
3.534830e+001	0.972824	0.972495	
3.544830e+001	0.972988	0.972988	
3.554830e+001	0.973153	0.972988	
3.564830e+001	0.973153	0.972988	
3.574830e+001	0.972659	0.973153	
3.584830e+001	0.972988	0.972824	
3.594830e+001	0.972988	0.972988	
3.604830e+001	0.972824	0.973153	
3.614830e+001	0.972659	0.972824	
3.624830e+001	0.972988	0.972988	
3.634830e+001	0.973153	0.972824	
3.644830e+001	0.972988	0.972988	
3.654830e+001	0.972824	0.972988	
3.664830e+001	0.972988	0.972988	
3.674830e+001	0.972988	0.972824	
3.684830e+001	0.972824	0.972824	
3.694830e+001	0.972988	0.972824	
3.704830e+001	0.972988	0.972824	
3.714830e+001	0.972824	0.973153	
3.724830e+001	0.972988	0.973153	
3.734830e+001	0.973153	0.972824	
3.744830e+001	0.973153	0.972988	
3.754830e+001	0.972988	0.973153	
3.764830e+001	0.973153	0.973153	
3.774830e+001	0.972824	0.972824	
3.784830e+001	0.972988	0.972988	
3.794830e+001	0.972988	0.972988	
3.804830e+001	0.972824	0.972824	
3.814830e+001	0.972988	0.972824	
3.824830e+001	0.972988	0.973153	
3.834830e+001	0.972988	0.972988	
3.844830e+001	0.972988	0.973153	
3.854830e+001	0.973153	0.972824	
3.864830e+001	0.972659	0.972824	
3.874830e+001	0.972824	0.972824	
3.884830e+001	0.973153	0.973153	
3.894830e+001	0.973153	0.973153	
3.904830e+001	0.972824	0.972988	
3.914830e+001	0.972824	0.972824	
3.924830e+001	0.972988	0.972988	
3.934830e+001	0.973153	0.972824	
3.944830e+001	0.973153	0.973153	
3.954830e+001	0.972988	0.972824	
3.964830e+001	0.972824	0.973153	
